,연료별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
17,휘발유,1653784.0,725973.0,589281.0,822433.0,315490.0,344646.0,300286.0,96729.0,3097029.0,373141.0,410120.0,536114.0,402481.0,494630.0,660730.0,906299.0,314364.0,12043530.0
34,경유,1060081.0,541814.0,444798.0,606327.0,263989.0,245963.0,214560.0,66012.0,2443582.0,369433.0,378935.0,515623.0,428970.0,551999.0,657476.0,733704.0,246526.0,9769792.0
51,엘피지,235264.0,108402.0,104736.0,106164.0,89230.0,66906.0,35640.0,13230.0,401549.0,57825.0,70546.0,89889.0,93459.0,113412.0,128220.0,139989.0,56028.0,1910489.0
68,등유,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
85,전기,57351.0,21916.0,24131.0,25835.0,8733.0,14163.0,5030.0,2962.0,75811.0,13618.0,14933.0,16467.0,12622.0,14981.0,18864.0,22081.0,32227.0,381725.0
102,알코올,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
119,태양열,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
136,CNG,8372.0,2568.0,2347.0,2449.0,1243.0,1438.0,805.0,182.0,8140.0,514.0,642.0,522.0,872.0,911.0,1006.0,1339.0,6.0,33356.0
153,LNG,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,6.0,1.0,0.0,27.0
170,하이브리드(휘발유+전기),161901.0,72643.0,54867.0,103961.0,28105.0,27513.0,22789.0,12262.0,291125.0,27366.0,29634.0,37644.0,28964.0,47390.0,42117.0,68484.0,38309.0,1095074.0
187,하이브리드(경유+전기),3518.0,5659.0,3129.0,9789.0,635.0,554.0,248.0,181.0,5255.0,408.0,701.0,675.0,861.0,632.0,549.0,2759.0,552.0,36105.0
204,하이브리드(LPG+전기),1472.0,704.0,778.0,648.0,603.0,481.0,455.0,140.0,3278.0,569.0,615.0,722.0,758.0,776.0,947.0,998.0,333.0,14277.0
221,하이브리드(CNG+전기),47.0,2.0,13.0,36.0,26.0,0.0,46.0,12.0,78.0,0.0,2.0,0.0,6.0,0.0,31.0,0.0,0.0,299.0
238,하이브리드(LNG+전기),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,수소,2921.0,1901.0,532.0,1609.0,1140.0,1208.0,2580.0,253.0,6169.0,2485.0,1713.0,1245.0,1854.0,747.0,248.0,2416.0,11.0,29032.0
272,기타연료,7399.0,16404.0,4836.0,14113.0,4177.0,3990.0,5288.0,1272.0,31098.0,4628.0,7186.0,10057.0,5470.0,9983.0,11320.0,9506.0,922.0,147649.0
289,총계,3192112.0,1497992.0,1229448.0,1693367.0,713371.0,706862.0,587727.0,193235.0,6363121.0,849987.0,915027.0,1208960.0,976318.0,1235465.0,1521514.0,1887577.0,689278.0,25461361.0
