,연료별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
17,휘발유,1660056.0,743028.0,601921.0,842845.0,320097.0,354042.0,306807.0,98300.0,3184224.0,384131.0,421732.0,554291.0,409521.0,498061.0,669060.0,933363.0,325871.0,12307350.0
34,경유,1012182.0,519991.0,440888.0,580536.0,257246.0,239794.0,206064.0,64862.0,2394040.0,362937.0,373366.0,511292.0,421334.0,539777.0,642083.0,721220.0,232739.0,9520351.0
51,엘피지,223115.0,101969.0,101464.0,99823.0,87269.0,64949.0,34229.0,12984.0,390254.0,55632.0,69075.0,88707.0,91711.0,105527.0,124527.0,135933.0,48739.0,1835907.0
68,등유,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
85,전기,71591.0,33770.0,30272.0,38551.0,12235.0,17418.0,7688.0,4235.0,111466.0,17927.0,19713.0,23558.0,19390.0,23746.0,26234.0,35124.0,38894.0,531812.0
102,알코올,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
119,태양열,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,CNG,7871.0,2377.0,2253.0,2353.0,1192.0,1320.0,777.0,172.0,7236.0,442.0,591.0,464.0,742.0,829.0,938.0,1141.0,2.0,30700.0
153,LNG,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,7.0,1.0,0.0,26.0
170,하이브리드(휘발유+전기),199622.0,97575.0,69763.0,133682.0,37732.0,37263.0,34357.0,15234.0,378332.0,36253.0,39889.0,51568.0,39230.0,66348.0,56561.0,96409.0,54196.0,1444014.0
187,하이브리드(경유+전기),4763.0,7910.0,3805.0,12025.0,880.0,772.0,363.0,251.0,7496.0,599.0,908.0,910.0,1094.0,911.0,760.0,4564.0,877.0,48888.0
204,하이브리드(LPG+전기),1514.0,652.0,711.0,611.0,545.0,419.0,410.0,115.0,2959.0,500.0,570.0,694.0,676.0,688.0,838.0,930.0,316.0,13148.0
221,하이브리드(CNG+전기),44.0,2.0,13.0,32.0,26.0,0.0,46.0,12.0,72.0,0.0,2.0,0.0,6.0,0.0,31.0,0.0,0.0,286.0
238,하이브리드(LNG+전기),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,수소,3176.0,2054.0,624.0,1933.0,1238.0,1519.0,2809.0,419.0,7456.0,2699.0,2087.0,1516.0,2334.0,1010.0,386.0,2756.0,30.0,34046.0
272,기타연료,7612.0,16349.0,5026.0,14237.0,4216.0,4075.0,5383.0,1286.0,32054.0,4863.0,7469.0,10424.0,5714.0,10222.0,11578.0,9985.0,950.0,151443.0
289,총계,3191548.0,1525681.0,1256740.0,1726631.0,722676.0,721571.0,598933.0,197870.0,6515595.0,865983.0,935402.0,1243426.0,991753.0,1247123.0,1533003.0,1941427.0,702614.0,25917976.0
