,regist_date,fuel_type,region,region_regist,whole_region_car_regist
102,2022.11,휘발유,울산,300286.0,12043530.0
103,2022.11,경유,울산,214560.0,12043530.0
104,2022.11,엘피지,울산,35640.0,12043530.0
105,2022.11,등유,울산,0.0,12043530.0
106,2022.11,전기,울산,5030.0,12043530.0
107,2022.11,알코올,울산,0.0,12043530.0
108,2022.11,태양열,울산,0.0,12043530.0
109,2022.11,CNG,울산,805.0,12043530.0
110,2022.11,LNG,울산,0.0,12043530.0
111,2022.11,하이브리드(휘발유+전기),울산,22789.0,12043530.0
112,2022.11,하이브리드(경유+전기),울산,248.0,12043530.0
113,2022.11,하이브리드(LPG+전기),울산,455.0,12043530.0
114,2022.11,하이브리드(CNG+전기),울산,46.0,12043530.0
115,2022.11,하이브리드(LNG+전기),울산,0.0,12043530.0
116,2022.11,수소,울산,2580.0,12043530.0
117,2022.11,기타연료,울산,5288.0,12043530.0
118,2022.11,총계,울산,587727.0,12043530.0
119,2022.11,휘발유,세종,96729.0,12043530.0
120,2022.11,경유,세종,66012.0,12043530.0
121,2022.11,엘피지,세종,13230.0,12043530.0
122,2022.11,등유,세종,0.0,12043530.0
123,2022.11,전기,세종,2962.0,12043530.0
124,2022.11,알코올,세종,0.0,12043530.0
125,2022.11,태양열,세종,0.0,12043530.0
126,2022.11,CNG,세종,182.0,12043530.0
127,2022.11,LNG,세종,0.0,12043530.0
128,2022.11,하이브리드(휘발유+전기),세종,12262.0,12043530.0
129,2022.11,하이브리드(경유+전기),세종,181.0,12043530.0
130,2022.11,하이브리드(LPG+전기),세종,140.0,12043530.0
131,2022.11,하이브리드(CNG+전기),세종,12.0,12043530.0
132,2022.11,하이브리드(LNG+전기),세종,0.0,12043530.0
133,2022.11,수소,세종,253.0,12043530.0
134,2022.11,기타연료,세종,1272.0,12043530.0
135,2022.11,총계,세종,193235.0,12043530.0
136,2022.11,휘발유,경기,3097029.0,12043530.0
137,2022.11,경유,경기,2443582.0,12043530.0
138,2022.11,엘피지,경기,401549.0,12043530.0
139,2022.11,등유,경기,0.0,12043530.0
140,2022.11,전기,경기,75811.0,12043530.0
141,2022.11,알코올,경기,1.0,12043530.0
142,2022.11,태양열,경기,2.0,12043530.0
143,2022.11,CNG,경기,8140.0,12043530.0
144,2022.11,LNG,경기,4.0,12043530.0
145,2022.11,하이브리드(휘발유+전기),경기,291125.0,12043530.0
146,2022.11,하이브리드(경유+전기),경기,5255.0,12043530.0
147,2022.11,하이브리드(LPG+전기),경기,3278.0,12043530.0
148,2022.11,하이브리드(CNG+전기),경기,78.0,12043530.0
149,2022.11,하이브리드(LNG+전기),경기,0.0,12043530.0
150,2022.11,수소,경기,6169.0,12043530.0
151,2022.11,기타연료,경기,31098.0,12043530.0
152,2022.11,총계,경기,6363121.0,12043530.0
153,2022.11,휘발유,강원,373141.0,12043530.0
154,2022.11,경유,강원,369433.0,12043530.0
155,2022.11,엘피지,강원,57825.0,12043530.0
156,2022.11,등유,강원,0.0,12043530.0
157,2022.11,전기,강원,13618.0,12043530.0
158,2022.11,알코올,강원,0.0,12043530.0
159,2022.11,태양열,강원,0.0,12043530.0
160,2022.11,CNG,강원,514.0,12043530.0
161,2022.11,LNG,강원,0.0,12043530.0
162,2022.11,하이브리드(휘발유+전기),강원,27366.0,12043530.0
163,2022.11,하이브리드(경유+전기),강원,408.0,12043530.0
164,2022.11,하이브리드(LPG+전기),강원,569.0,12043530.0
