지역,위도,경도
서울,37.5642135,127.0016985
부산,35.1379222,129.05562775
강원,37.8304115,128.2260705
충북,36.63604,127.491507
충남,36.659082,126.673079
전북,35.820371,127.109135
전남,34.816078,126.463203
경북,36.576047,128.505757
경남,35.237722,128.692008
제주,33.383148,126.526199
대구,35.5217,128.3605
인천,37.2702,126.4215
광주,35.150762,126.81483
대전,36.35111,127.385
울산,35.52534995,129.22244165
세종,36.285,127.172
경기,37.5864315,127.0462765
