,연료별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
17,휘발유,1645768.0,749431.0,600938.0,839151.0,322701.0,361207.0,308996.0,99429.0,3228660.0,390147.0,427112.0,567638.0,413218.0,512814.0,677413.0,946648.0,329867.0,12421138.0
34,경유,953875.0,491975.0,424503.0,548636.0,248049.0,230655.0,196888.0,62648.0,2301827.0,350806.0,360704.0,497942.0,408660.0,522414.0,625761.0,692849.0,215360.0,9133552.0
51,엘피지,220144.0,101449.0,101127.0,100511.0,87095.0,65434.0,34669.0,13111.0,402897.0,56008.0,70690.0,91887.0,93071.0,104068.0,126600.0,136941.0,44557.0,1850259.0
68,등유,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,전기,82824.0,43531.0,35012.0,54387.0,15093.0,21098.0,9684.0,5343.0,149479.0,20730.0,25255.0,30504.0,24701.0,31123.0,33410.0,46295.0,48523.0,676992.0
102,알코올,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
119,태양열,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,CNG,7194.0,2067.0,2136.0,2074.0,1121.0,1233.0,734.0,159.0,6409.0,373.0,497.0,363.0,623.0,724.0,830.0,903.0,3.0,27443.0
153,LNG,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,7.0,3.0,0.0,26.0
170,하이브리드(휘발유+전기),249441.0,138219.0,87608.0,174690.0,48873.0,49547.0,46631.0,19108.0,490821.0,47240.0,53023.0,69345.0,51634.0,90854.0,74007.0,135670.0,73740.0,1900451.0
187,하이브리드(경유+전기),5952.0,10423.0,4342.0,13401.0,1067.0,976.0,448.0,310.0,9423.0,796.0,1109.0,1123.0,1231.0,1141.0,1001.0,6456.0,1235.0,60434.0
204,하이브리드(LPG+전기),1403.0,587.0,634.0,558.0,496.0,370.0,358.0,108.0,2617.0,414.0,476.0,660.0,604.0,615.0,736.0,819.0,274.0,11729.0
221,하이브리드(CNG+전기),43.0,0.0,11.0,16.0,26.0,0.0,46.0,11.0,49.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,234.0
238,하이브리드(LNG+전기),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,수소,3253.0,2252.0,687.0,2551.0,1272.0,1816.0,2954.0,530.0,8094.0,2722.0,2251.0,1737.0,2589.0,1187.0,532.0,2993.0,62.0,37482.0
272,수소전기,0.0,31.0,0.0,20.0,0.0,0.0,14.0,0.0,98.0,6.0,8.0,0.0,12.0,3.0,10.0,5.0,0.0,207.0
289,기타연료,7529.0,16318.0,5114.0,14301.0,4416.0,4065.0,5548.0,1310.0,32144.0,5040.0,7620.0,10753.0,5991.0,10366.0,11849.0,10322.0,969.0,153655.0
306,총계,3177427.0,1556287.0,1262112.0,1750299.0,730209.0,736401.0,606970.0,202067.0,6632524.0,874282.0,948746.0,1271953.0,1002336.0,1275312.0,1552187.0,1979904.0,714590.0,26273606.0
