,연료별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계
17,휘발유,1633187.0,683673.0,581123.0,797246.0,303998.0,334005.0,287595.0,86490.0,2902867.0,346559.0,382240.0,499847.0,387347.0,416322.0,629871.0,836723.0,268850.0,11377943.0
34,경유,1111941.0,563259.0,471460.0,670032.0,273409.0,255840.0,226596.0,64841.0,2434433.0,374663.0,383280.0,523474.0,437812.0,535277.0,671873.0,740809.0,256686.0,9995685.0
51,엘피지,260065.0,118010.0,112363.0,131572.0,88336.0,68788.0,37429.0,12440.0,410866.0,60037.0,69933.0,87333.0,94227.0,105825.0,127076.0,137078.0,63095.0,1984473.0
68,등유,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
85,전기,23052.0,5210.0,12570.0,4999.0,3162.0,4415.0,2249.0,1127.0,19903.0,3810.0,3794.0,5157.0,3269.0,5055.0,6753.0,6137.0,21261.0,131923.0
102,알코올,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,태양열,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,CNG,9240.0,2886.0,2532.0,2709.0,1323.0,1656.0,822.0,156.0,9140.0,688.0,729.0,585.0,1010.0,1017.0,1118.0,1632.0,8.0,37251.0
153,LNG,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0
170,하이브리드(휘발유+전기),109324.0,35717.0,32161.0,53237.0,16160.0,16463.0,12944.0,7203.0,176018.0,16606.0,17199.0,21979.0,17655.0,19446.0,25138.0,34268.0,16737.0,628255.0
187,하이브리드(경유+전기),788.0,816.0,553.0,2002.0,106.0,104.0,67.0,35.0,954.0,78.0,185.0,111.0,194.0,126.0,101.0,264.0,101.0,6585.0
204,하이브리드(LPG+전기),1815.0,801.0,924.0,758.0,679.0,528.0,510.0,165.0,3871.0,691.0,694.0,749.0,839.0,881.0,1061.0,1088.0,343.0,16397.0
221,하이브리드(CNG+전기),51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,8.0,0.0,31.0,1.0,0.0,326.0
238,하이브리드(LNG+전기),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,수소,1545.0,896.0,64.0,471.0,678.0,497.0,1762.0,41.0,1517.0,833.0,323.0,450.0,383.0,122.0,17.0,878.0,0.0,10477.0
272,기타연료,6270.0,15399.0,3890.0,12542.0,3535.0,3265.0,4858.0,899.0,25178.0,3630.0,5922.0,8167.0,4622.0,8881.0,9756.0,8194.0,742.0,125750.0
289,총계,3157278.0,1426672.0,1217653.0,1675610.0,691412.0,685561.0,574878.0,173424.0,5984827.0,807595.0,864302.0,1147853.0,947366.0,1092952.0,1472796.0,1767073.0,627823.0,24315075.0
